['consistently', 0.9965724848907095]
['whither', 0.9694714183469406]
['intimidated', 0.9690916205630301]
['vieillard', 0.9687813508860115]
['raise', 0.9684742360435054]
['worlds', 0.9681979509084702]
['metz', 0.9681752265277944]
['refusing', 0.968139655613816]
['promontories', 0.9680043624712329]
['contradictory', 0.9679741435999893]
['recommendations', 0.9678471004735736]
['claim', 0.9676954822859314]
['strikingly', 0.9676954822859314]
['syndicates', 0.9673608688049924]
['freedmen', 0.9671972322174037]
['needleworkers', 0.966978907936132]
['jump', 0.9668712392381148]
['cant', 0.9668712392381148]
['_areopagitica_', 0.9667651708654997]
['coachmen', 0.9667592394905672]
['si', 0.9666176155007107]
['consolation', 0.9665938568792117]
['interposition', 0.9663935227818193]
['persistent', 0.9661033806523956]
['negotiations', 0.9656303081954238]
['bnf', 0.9654387471324204]
['engross', 0.9645727184005798]
['cooerdinating', 0.9640201246519866]
['decent', 0.9635022096432897]
['wakefield', 0.9634488474468597]
['torn', 0.9633812236982241]
['nominations', 0.9633456563690797]
['unscaleable', 0.9630117326123873]
['malignant', 0.9626583843439399]
['patrimony', 0.9624169946301153]
['gapped', 0.962361435850064]
['depleted', 0.9623115902650398]
['witted', 0.9620966992245751]
['denies', 0.9618264629500691]
['lustre', 0.9616689666058954]
['assign', 0.9614007029076282]
['pony', 0.9612317735609217]
['tinned', 0.9610996283843283]
['quiver', 0.9609824625472367]
['site', 0.9609411866923913]
['petition', 0.9603521530145999]
['descant', 0.9602684925376527]
['jetes', 0.9599566834321439]
['waddled', 0.959839466240934]
['ransomed', 0.959839466240934]
['anderson', 0.959839466240934]
['arriving', 0.9595792924634731]
['amuse', 0.9590165562634111]
['secretary', 0.9587897384272839]
['benefits', 0.9584625416815102]
['rooting', 0.9584549772262974]
['hangchow', 0.9584219843729221]
['surround', 0.9583768260085962]
['yawned', 0.9583050286537231]
['facilities', 0.9582712220872519]
['pricks', 0.9580766985417151]
['spiritualists', 0.958067605077537]
['siamese', 0.958015678861077]
['angle', 0.9579759299915036]
['represents', 0.9578448340517134]
['_me_', 0.957654390583355]
['hundredth', 0.957654390583355]
['recked', 0.9576448749799464]
['written', 0.9575285520960193]
['decidedly', 0.95745762196013]
['perceive', 0.9573769149595707]
['jason', 0.9572896325646427]
['invented', 0.9572746557375181]
['unapproving', 0.9570945648918463]
['slide', 0.9569691802790162]
['emanations', 0.9569691802790162]
['provocation', 0.9569527285535354]
['narratives', 0.9569467329909249]
['consequently', 0.9568031213926609]
['pack', 0.9567148084614604]
['resplendent', 0.9564308901478634]
['slight', 0.9563640152960694]
['soups', 0.9563640152960694]
['morality', 0.9562338637304978]
['voltaire', 0.9561879253555305]
['sycamores', 0.9560934650445598]
['maintenant', 0.9560521005476686]
['quand', 0.9558163517445716]
['thoughts', 0.9553223978055602]
['affidavy', 0.9550986497423851]
['claret', 0.9548949695865455]
['pensants', 0.9546555709628434]
['competitors', 0.9546308808954093]
['antagonistic', 0.9538764826445134]
['assemblage', 0.9537654774201965]
['awash', 0.9532553911719635]
['conducive', 0.9532422957932548]
['temperance', 0.9529237808713316]
['roost', 0.952795290807198]
['monitor', 0.9526864348412419]
['seein', 0.9524118740329317]
['bits', 0.9524118740329317]
['sunward', 0.9522707622996385]
['sovereigns', 0.9522561848697548]
['command', 0.9520460195084628]
['gracefully', 0.9515019994830987]
['headstone', 0.9514863029114378]
['pocketing', 0.9513462051896007]
['agitations', 0.9512061675260581]
['processes', 0.9510970605618547]
['profile', 0.9510905384020296]
['fiords', 0.950817318969695]
['reigning', 0.950817318969695]
['owed', 0.9506094788917447]
['piemont', 0.9504242206207532]
['severest', 0.9504064485262752]
['liable', 0.9503192972872591]
['panels', 0.9502367023440376]
['desperation', 0.9502329765549054]
['emerald', 0.9502242651735529]
['mettant', 0.9501843486295528]
['sprang', 0.9500220382710636]
['booming', 0.9499599655327678]
['victim', 0.949942866446537]
['conclusions', 0.9497710277491223]
['muscle', 0.9496325408570584]
['oncommon', 0.9496107121489951]
['scarf', 0.9494380418384606]
['sert', 0.9491208643909973]
['affect', 0.9488179273011497]
['services', 0.9487979957336733]
['selections', 0.9486315938315797]
['prescience', 0.9485754518273023]
['drugging', 0.9483796633665837]
['preached', 0.9483284263343735]
['long', 0.9482991355860035]
['ascending', 0.9482162387134581]
['acquiescence', 0.9480410583504005]
['possessions', 0.9478907287069788]
['shock', 0.9478248169897427]
['dip', 0.9476677691222029]
['sixteenth', 0.9476433292118055]
['daylight', 0.9476162245732102]
['unscathed', 0.9475858559898257]
['correctly', 0.9472036758485569]
['beginnings', 0.9469888112726602]
['duvall', 0.946910876101218]
['despise', 0.9467592063515611]
['thraldom', 0.9466831441585082]
['selected', 0.946633764044768]
['harder', 0.9465729317107417]
['finances', 0.9465571830548327]
['waned', 0.9464918908057753]
['seasoned', 0.9463940227617067]
['feces', 0.9462817776717265]
['blossom', 0.9462618067335258]
['foamin', 0.9461641406075574]
['perseus', 0.9460343756637594]
['pottery', 0.945915573527127]
['outreach', 0.945814284576354]
['assassin', 0.945814284576354]
['remorselessly', 0.9457086291016582]
['lonesomeness', 0.9454932286709993]
['nobility', 0.9454115984151411]
['savant', 0.9450910921529867]
['mousedom', 0.9450910921529867]
['gloriously', 0.9450068099096108]
['twitched', 0.9448501935641693]
['participated', 0.9447543851583033]
['galilee', 0.9447476919863418]
['endless', 0.944651970533048]
['wing', 0.9445527072060957]
['sings', 0.944545060166943]
['ledges', 0.9443746896274531]
['ahoy', 0.9442314304006255]
['stripped', 0.9440956782231988]
['michael', 0.9440513167053053]
['beer', 0.9440411962994242]
['languidly', 0.9440368338048125]
['marsh', 0.9440161673837981]
['traffic', 0.9439885751225494]
['efficiently', 0.9438750023891944]
['lawn', 0.9435221979850674]
['grata', 0.9434648882102072]
['_varieties', 0.9433511030506643]
['fastening', 0.9429804741400016]
['luncheon', 0.9429758480375963]
['amazon', 0.9429459541234056]
['immortality', 0.9429191366149859]
['supremely', 0.9428748795408677]
['principal', 0.9428441053642552]
['calculations', 0.9427039228848111]
['congratulated', 0.9425849980781522]
['_so_', 0.9424503599217314]
['cour', 0.9423305405139735]
['ridiculing', 0.9422879134183215]
['harmful', 0.9421937383678243]
['extended', 0.942157604123526]
['moneyed', 0.9420174208094073]
['suspenders', 0.9420045913644545]
['arithmetical', 0.9419109322257666]
['gosh', 0.9416388880487124]
['detection', 0.9415517562352851]
['blackest', 0.9415517562352851]
['giacomo', 0.9414273225497979]
['rivaled', 0.9413352540681409]
['departments', 0.9413245238584006]
['valor', 0.941291943712423]
['vindar', 0.9412096608506815]
['sockets', 0.9412096608506815]
['grandnephew', 0.9412096608506815]
['portmanteaus', 0.9411825459691366]
['sporadic', 0.9410469666489608]
['arcade', 0.9409579941932845]
['spirited', 0.9406338381939636]
['tables', 0.9406123337794574]
['excepting', 0.940428848680896]
['ichthiosaurus', 0.9404143006477346]
['_oyama_', 0.9404143006477346]
['platoon', 0.9402733451850043]
['incapacitating', 0.9402560499120057]
['bays', 0.9402545084270653]
['speedy', 0.9402545084270653]
['felicitations', 0.939973772847202]
['magical', 0.9399718384774775]
['bang', 0.939954155717243]
['faraway', 0.9399189417633016]
['trip', 0.9399189417633016]
['depravity', 0.9398630688031886]
['sleeps', 0.9398630688031886]
['thing', 0.9398630688031886]
['drummed', 0.9397435217659751]
['exigencies', 0.9396808582080662]
['laces', 0.9396808582080662]
['preliminaries', 0.9396763495701134]
['blague', 0.9396564905241469]
['sign', 0.9396276430976702]
['pause', 0.9393951463326499]
['sympathize', 0.939388699131229]
['preternatural', 0.9392981853670748]
['firmament', 0.9391226569105227]
['sandstone', 0.9389854827677865]
['fantastic', 0.9389441802870823]
['published', 0.9389441802870823]
['torchlight', 0.9389285169054462]
['folly', 0.9389285169054462]
['make', 0.9389285169054462]
['foresaw', 0.9389285169054462]
['glonglim', 0.9389285169054462]
['tips', 0.9388803294108029]
['hugest', 0.9388684945590708]
['overthrown', 0.938796171752588]
['judging', 0.9387875377727508]
['alms', 0.9387786787241823]
['coal', 0.9387564357915273]
['scales', 0.9387564357915273]
['stench', 0.9386220209604317]
['jotted', 0.9385064631100047]
['hesselius', 0.9384473285448431]
['glad', 0.9384105142270125]
['landholders', 0.9383965102030968]
['candlestick', 0.9383345955529466]
['habitually', 0.9383345955529466]
['makers', 0.9383345955529466]
['intensest', 0.9383345955529466]
['prosecuted', 0.9383345955529466]
['lui', 0.9383345955529466]
['princeton', 0.9383345955529466]
['support', 0.9383345955529466]
['begotten', 0.9383345955529466]
['plenipotentiaries', 0.9383345955529466]
['faggots', 0.9383345955529466]
['hog', 0.9383345955529466]
['delegating', 0.9383345955529466]
['mistake', 0.9383345955529466]
['sacrifice', 0.9383345955529466]
['imbecility', 0.9383345955529466]
['rackett', 0.9383345955529466]
['dear', 0.9380190238187261]
['greatly', 0.9380013656757982]
['yards', 0.9377965847632814]
['track', 0.9377371757266194]
['shrouded', 0.9376258231936041]
['affirming', 0.9375472934873544]
['transferred', 0.9373708905504344]
['forfend', 0.9372004720413576]
['naps', 0.937171732821856]
['administrations', 0.9370690128871173]
['feigned', 0.9369663949713735]
['shocks', 0.936923205107051]
['stitched', 0.9368630688884505]
['signatures', 0.9368313298444713]
['refashion', 0.9368150346739802]
['springin', 0.9368105611736911]
['citizens', 0.9366659587466625]
['seizure', 0.9366643604773958]
['onset', 0.9365657299990777]
['gunboat', 0.9364908603790985]
['relinquish', 0.9364725706338419]
['dominating', 0.9364725706338419]
['transient', 0.9364383279278463]
['livery', 0.9363802816678795]
['eminently', 0.9363241930761743]
['wilderness', 0.9362355509283479]
['refuted', 0.9362200363184228]
['_through_', 0.9362200363184228]
['eyeless', 0.9361326343662724]
['class', 0.936080423938112]
['chains', 0.9360417503661772]
['_really_', 0.9360305833028095]
['merited', 0.9359501451642919]
['affections', 0.9358796900866895]
['trapper', 0.9358728484131996]
['jauntily', 0.9358728484131996]
['accumulated', 0.9358243043286345]
['1901', 0.9358187373071621]
['plea', 0.9358131559634628]
['downloading', 0.935632211424346]
['equanimity', 0.935632211424346]
['appalachians', 0.935632211424346]
['solved', 0.935632211424346]
['horrid', 0.935632211424346]
['waterfall', 0.935632211424346]
['distinct', 0.935632211424346]
['rabbit', 0.935632211424346]
['richer', 0.9355902180557175]
['tails', 0.9352929824869933]
['weaken', 0.9352168359866165]
['wayfarers', 0.9350086710900931]
['talking', 0.934925432517586]
['chercher', 0.9346791974413226]
['steamer', 0.9346357592604527]
['webbed', 0.9346357592604527]
['groupe', 0.9346357592604527]
['weave', 0.9344854576711061]
['scotchman', 0.9344854576711061]
['beggin', 0.9344522995690282]
['combine', 0.9344522995690282]
['meritorious', 0.9342884439889882]
['sanction', 0.9342843051235246]
['roadside', 0.9341668743352856]
['foot', 0.9340025913881408]
['systems', 0.9340025913881408]
['walnut', 0.9340025913881408]
['hazing', 0.9340025913881408]
['sterile', 0.9340025913881408]
['proves', 0.9340025913881408]
['see', 0.9340025913881408]
['absurd', 0.9340025913881408]
['minnows', 0.9340025913881408]
['frances', 0.9340025913881408]
['busily', 0.9340025913881408]
['wrangling', 0.9340025913881408]
['recites', 0.9340025913881408]
['scrutinised', 0.9337637991754655]
['mariners', 0.9336781458478598]
['familiars', 0.9335843755436932]
['liquor', 0.9334774537917796]
['soreness', 0.9333370897927492]
['through', 0.9332863563929635]
['makes', 0.9332234137440529]
['winning', 0.9332234137440529]
['pekin', 0.9330408457144165]
['patten', 0.9329220857782856]
['comedians', 0.9328695983607734]
['portuguese', 0.9326714769425277]
['henceforward', 0.9325478793095953]
['curtain', 0.9325478793095953]
['lovely', 0.9325126927309002]
['equaled', 0.9321729389475664]
['discovers', 0.9321088035946042]
['deafness', 0.9320250818768192]
['crickets', 0.9319456477813193]
['_xi_', 0.9319264260267424]
['orphan', 0.9316490594031551]
['terrified', 0.9316226743869565]
['hop', 0.9315533680859661]
['compelling', 0.9314182285211537]
['watertown', 0.9314039320888071]
['endurance', 0.9313971503781007]
['illusive', 0.9313147660396115]
['curtly', 0.9312359642576413]
['conduct', 0.9312214482112069]
['dual', 0.931219118292121]
['discolored', 0.931083497908912]
['drouth', 0.9307989120896396]
['enacted', 0.9306877877145463]
['dutchman', 0.9304283226214388]
['entrust', 0.9302972317067323]
['moulded', 0.9302554764647327]
['debrouillard', 0.9301077897169259]
['maelstroms', 0.9298226533317995]
['leucothea', 0.9295755984953106]
['mesmerised', 0.9295436552404054]
['emerson', 0.9295032710118917]
['brilliant', 0.9293772549283724]
['cargoes', 0.9293601088553567]
['mournful', 0.9290448402742345]
['rheumatic', 0.928954714671155]
['detect', 0.9288354205215981]
['certainly', 0.9287888973849562]
['creek', 0.928637334291675]
['expects', 0.9284499373676415]
['amongst', 0.928346152078046]
['hullo', 0.9280404808107034]
['shoes', 0.9280391138335102]
['italian', 0.927780976588907]
['rockiness', 0.927648951127769]
['tain', 0.9275767098569627]
['fuse', 0.9273157572888177]
['swathing', 0.9271455500720502]
['bathed', 0.9269944572483152]
['grossness', 0.926823188813617]
['undulating', 0.926823188813617]
['gushing', 0.926823188813617]
['recollected', 0.926823188813617]
['establishers', 0.9268047060370503]
['saddle', 0.9267534127519625]
['prodigals', 0.9263898703322537]
['scrimmage', 0.9262024863998668]
['bulwarks', 0.9261714259270625]
['route', 0.9261634139455761]
['tried', 0.9261123054649183]
['billowing', 0.9260396489639451]
['generations', 0.9259253177675707]
['influence', 0.9258867031217985]
['farmyard', 0.9258292095244209]
['espied', 0.925746121073519]
['promptitude', 0.92574384729625]
['pail', 0.9254311232312338]
['hates', 0.9254311232312338]
['inflamed', 0.9254311232312338]
['cordon', 0.9254196095958349]
['candidates', 0.9254147973688305]
['highland', 0.9253401397540857]
['bibliotheque', 0.9252230270987372]
['dispose', 0.9251992786743091]
['immense', 0.9250443110062697]
['aforementioned', 0.9249919278280948]
['handily', 0.9249325875653973]
['flowery', 0.9248294938289539]
['valley', 0.9246476459488884]
['amaze', 0.9246235559397552]
['production', 0.924558627840863]
['clerge', 0.9244603534510059]
['busy', 0.9242702367178514]
['tien', 0.9242302653305419]
['dupes', 0.9241629001700278]
['bolted', 0.9240165692003264]
['imperturbable', 0.92390015470936]
['refused', 0.923646445504602]
['brutes', 0.9234804927581501]
['chrysanthemums', 0.9233955137981489]
['misinterpreted', 0.9232743812651374]
['mixes', 0.9230403155166337]
['bergs', 0.9230403155166337]
['consumed', 0.9230403155166337]
['_in', 0.92298080360909]
['elevating', 0.9229650407702399]
['modesty', 0.922871670269285]
['ishigaki', 0.9228431335714717]
['alertly', 0.9226971152624212]
['funnels', 0.9225787643039779]
['clumps', 0.9224312545294168]
['flood', 0.9224312545294168]
['premature', 0.9224312545294168]
['nihilist', 0.9224149393326186]
['oatmeal', 0.9221280511842415]
['monetary', 0.9219375678163069]
['hugely', 0.9218596308312028]
['abiding', 0.9217456141883054]
['vegetable', 0.9217456141883054]
['suspicious', 0.9216661058056714]
['gravel', 0.9215777769656687]
['shantyin', 0.9215593761824437]
['commencement', 0.9215105654007123]
['subdue', 0.9213747060677046]
['smoothness', 0.9211867883232491]
['slaughtering', 0.9209370596739966]
['rise', 0.9208779790362156]
['illustration_', 0.9208733464305745]
['eight', 0.9207970067544688]
['him', 0.9207507197318268]
['nervousness', 0.9206345814744592]
['equine', 0.9206228492610526]
['travels', 0.9205439367199427]
['restaurants', 0.9204746624973408]
['chili', 0.9204327772526888]
['doled', 0.9202995352706631]
['burglars', 0.9202654655578906]
['punctuation', 0.9202654655578906]
['broadside', 0.9202654655578906]
['quavered', 0.9202403332602094]
['artillery', 0.9200844332022889]
['barter', 0.9200092921342177]
['bally', 0.9200084458855662]
['squashing', 0.919937679004155]
['traders', 0.9198983749862931]
['darkly', 0.9195686124700797]
['home', 0.9195506153054114]
['indicatory', 0.9194767100910142]
['rummage', 0.9192416738588589]
['1698', 0.9192314685532529]
['alderswamp', 0.9187733533739124]
['carvalho', 0.9187418215021669]
['unchecked', 0.9184893494741161]
['piety', 0.9182757751943977]
['recitation', 0.9182054925698951]
['dining', 0.9180379273318814]
['dried', 0.9180015924780991]
['pshaw', 0.9178863383147577]
['disastrous', 0.91785831688533]
['for', 0.9177787003271639]
['uncertainty', 0.9177539280982492]
['breakdown', 0.917750159283507]
['ministres', 0.9176550513144581]
['performance', 0.9175940209514053]
['investigate', 0.917587734790092]
['bloodstain', 0.9174074451357859]
['ringing', 0.9169999438460439]
['monsters', 0.9168959008261504]
['sma', 0.9166923092796988]
['worried', 0.9165496280604071]
['abundant', 0.9165496280604071]
['foyer', 0.9165496280604071]
['byway', 0.9164537513206013]
['countermarching', 0.9163839797821919]
['betide', 0.9163799395625558]
['_gul_', 0.9162920408694246]
['outfitted', 0.9162540774857723]
['signals', 0.9162540774857723]
['attorney', 0.9161815108821566]
['mislead', 0.916138847254665]
['layers', 0.916115639777863]
['real', 0.9160305105152236]
['aurore', 0.9160124623465193]
['eternally', 0.9159949499326694]
['monarchy', 0.9159091583729746]
['cultures', 0.9158354469475279]
['belligerents', 0.9157591964811604]
['plunder', 0.9157274010621065]
['_descending_', 0.9152312964473963]
['sunny', 0.9150047894629529]
['pavement', 0.9147641835273926]
['equilibrium', 0.9147514166648387]
['thinks', 0.914652659467029]
['repulsions', 0.914652659467029]
['parisians', 0.914652659467029]
['fester', 0.914652659467029]
['noised', 0.9145732802924531]
['appreciative', 0.9145405218300615]
['holding', 0.9145351027643759]
['gravitating', 0.9145060809958488]
['windfall', 0.9145060809958488]
['babe', 0.9142635837418936]
['disdain', 0.9142330452298877]
['stayed', 0.9142010358763479]
['emitted', 0.914153077707456]
['unmarried', 0.914119302999401]
['paying', 0.914088395185366]
['trench', 0.9139065686081415]
['lest', 0.9138707105751741]
['faure', 0.9136906019254422]
['quietly', 0.9136266434879375]
['hide', 0.9135404690596164]
['marcia', 0.9134997403755971]
['weigh', 0.9134997403755971]
['dominates', 0.9134997403755971]
['caves', 0.9131523779516445]
['accounts', 0.9130962226057269]
['marvel', 0.9130644891868828]
['inflammation', 0.9129515108520023]
['soothes', 0.9126689308061955]
['paquet', 0.9124938653396985]
['smarting', 0.912364696165362]
['tranquil', 0.912364696165362]
['plottings', 0.912364696165362]
['snail', 0.9122679299993084]
['sangamo', 0.9121288812621133]
['noiseless', 0.9121159863849877]
['vows', 0.9120064015747706]
['perpetual', 0.9118104859204692]
['garner', 0.9118079857390692]
['conceived', 0.9116844082965325]
['snarled', 0.911557281050869]
['gallic', 0.9112889390938282]
['winged', 0.9112492945294841]
['labours', 0.9111870985724577]
['suits', 0.9111642869297638]
['unlocked', 0.9111621155274298]
['perch', 0.9109851816039057]
['forec', 0.9108296230055923]
['violate', 0.9105175989687313]
['intermittent', 0.9104431411966023]
['shallow', 0.9104431411966023]
['match', 0.9104431411966023]
['_political', 0.9104431411966023]
['reproaches', 0.9104073517106475]
['catholics', 0.9103737174604903]
['visites', 0.9103732733109008]
['luxurious', 0.9103404847310316]
['parlance', 0.9102399192019119]
['therewith', 0.9102397505772815]
['dunce', 0.9102397505772815]
['spencer', 0.9102252763615459]
['hungry', 0.9101384082920558]
['emptied', 0.9101008766020197]
['bazaine', 0.9099826076569166]
['romping', 0.9099223366818124]
['horn_', 0.9098221395947899]
['freezing', 0.9097870938743392]
['ceremony', 0.909580030088055]
['boulevard', 0.9095669218316557]
['allumettes', 0.909537363414915]
['accident', 0.9094976562351198]
['backing', 0.909457332704116]
['petron', 0.90938053688954]
['nuncio', 0.9093022216006852]
['voiced', 0.9090855599466262]
['locating', 0.9090721695236996]
['triste', 0.9089037937270077]
['when', 0.9088218364232505]
['energetic', 0.908733063764485]
['honourably', 0.9086663675814843]
['murmurs', 0.9085351314595209]
['caparisons', 0.9085211219066387]
['strengthens', 0.9085119572704075]
['paintings', 0.9084986123736077]
['weighty', 0.9083262349021287]
['organization', 0.9083053549017931]
['hundreds', 0.9082553909548091]
['stayers', 0.908223615152038]
['schermie', 0.9079494788741098]
['accompanies', 0.9079356245366816]
['upsetting', 0.9079077836903089]
['desires', 0.9078984455311672]
['jeopardize', 0.907890582647756]
['enclosure', 0.9078652110879037]
['promiscuous', 0.9078543422529285]
['unthinking', 0.9076703308780211]
['obedient', 0.907601911200618]
['fulfil', 0.9075996315780668]
['hatchet', 0.9075291473860643]
['sometime', 0.9074203835118987]
['cognac', 0.9074203835118987]
['souvenirs', 0.9073188172046014]
['circumscription', 0.9072314680798693]
['pertinacity', 0.9072314680798693]
['designs', 0.9071218617939957]
['etoile', 0.9070112460754097]
['uproot', 0.9070112460754097]
['navies', 0.906996468496789]
['handed', 0.9069454421046443]
['interrogation', 0.9067773413129312]
['disparaging', 0.9067109448791062]
['mass', 0.9066544509534076]
['donations', 0.9066200470047818]
['calamity', 0.9065264013484503]
['evidences', 0.9065245152651928]
['underhand', 0.9065244119486675]
['occurs', 0.9063967456374211]
['daughters', 0.9063967456374211]
['xxvi', 0.9063967456374211]
['lurid', 0.9063967456374211]
['politics', 0.9063967456374211]
['qualities', 0.9063967456374211]
['pleurisy', 0.9062196603314486]
['ransom', 0.9061454095717295]
['jewelled', 0.9061454095717295]
['contemplate', 0.9061454095717295]
['cordial', 0.9060875400595407]
['paused', 0.905906562656442]
['time', 0.9057636542305667]
['brick', 0.9056389933196257]
['gare', 0.9055074945101904]
['difficult', 0.9053733961119035]
['encouraged', 0.905366418877984]
['amused', 0.9051668993411813]
['remains', 0.9050246296917598]
['choke', 0.9049631469184892]
['amoundt', 0.9049311221925748]
['decision', 0.9046749379995943]
['constancy', 0.9046402689046761]
['professed', 0.904460671711277]
['heartbroken', 0.9044102119997769]
['originality', 0.9042987274662797]
['sayest', 0.9041391401505299]
['eruptions', 0.9040040350143308]
['animal', 0.9039385174768585]
['indulgent', 0.9038565467303413]
['complacency', 0.9038393451352965]
['keepers', 0.9036710988398785]
['wry', 0.9036368054119296]
['billowy', 0.9035989472717779]
['resolution', 0.9035223612800655]
['thou', 0.9031958561700724]
['tremendously', 0.9031652199576771]
['hunters', 0.902961917154593]
['dictionary', 0.9028265616294097]
['unbelievingly', 0.9025739914381402]
['pastures', 0.902395455120769]
['appalled', 0.9023545856420414]
['picture', 0.9023529650192568]
['village', 0.9023281578897505]
['heed', 0.9022671219173837]
['causing', 0.9022573492089991]
['caricatures', 0.9022455685481534]
['pie', 0.9022005835810019]
['sandalphon', 0.9021812442445916]
['wilt', 0.9020245728838385]
['infringing', 0.9015299010779856]
['catullus', 0.9014694210230063]
['stretched', 0.9014694210230063]
['stalk', 0.9014694210230063]
['ends', 0.9014266014883755]
['allusions', 0.9013903647283674]
['dress', 0.9012511090280535]
['stepping', 0.901195569442538]
['simplified', 0.9009566230788223]
['plum', 0.9009449466665889]
['freshened', 0.9007969637260164]
['teas', 0.9006847403150999]
['wharf', 0.9006230936591768]
['unheeded', 0.9004988092861468]
['ankle', 0.9000726999187953]
['scrubbing', 0.9000552980936103]
['oracle', 0.9000428928263305]
